online_order,book_table,rate,votes,rest_type,dish_liked,cuisines,cost,listed_intype,listed_incity,Latitude,Longitude
Yes,Yes,4.1,775,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,12.9393328,77.5539819
Yes,No,4.1,787,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800.0,Buffet,Banashankari,12.9393328,77.5539819
Yes,No,3.8,918,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,12.9393328,77.5539819
No,No,3.7,88,Quick Bites,Masala Dosa,"South Indian, North Indian",300.0,Buffet,Banashankari,12.9393328,77.5539819
No,No,3.8,166,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600.0,Buffet,Banashankari,12.9393328,77.5539819
Yes,No,3.8,286,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0,Buffet,Banashankari,12.9393328,77.5539819
Yes,Yes,4.6,2556,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,4.0,324,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,4.2,504,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,4.1,402,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,Yes,4.2,150,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,Yes,4.2,164,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,12.9393328,77.5539819
No,No,4.0,424,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.8,918,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.8,90,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.9,133,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.8,144,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700.0,Cafes,Banashankari,12.9393328,77.5539819
No,No,3.9,93,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.0,62,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.7,180,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,3.6,62,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,12.9393328,77.5539819
No,No,3.8,148,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,4.0,219,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0,Cafes,Banashankari,12.9393328,77.5539819
Yes,No,2.8,506,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,172,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,415,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,230,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,1647,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.4,4884,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,133,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,286,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,540,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.6,2556,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.8,36,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,244,Quick Bites,Biryani,"North Indian, Chinese",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.0,804,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.7,679,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.1,245,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,4.3,345,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.0,618,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,4.0,1047,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,627,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.2,354,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,4.2,244,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,3.6,163,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,12.9393328,77.5539819
No,Yes,4.0,808,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,1720,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,4.1,868,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,4.1,520,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.6,299,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,558,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.8,39,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,146,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.4,4401,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,2.6,283,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.3,62,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.7,65,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,71,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.5,52,Quick Bites,Rooftop Ambience,South Indian,300.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.7,130,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.8,45,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,201,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.0,771,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.0,98,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.1,175,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,540,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,124,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,340,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,505,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,438,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.7,264,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.7,97,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,195,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.6,228,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.1,364,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.7,107,Beverage Shop,Lassi,"Beverages, Ice Cream",150.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.2,167,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,64,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.0,290,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,233,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,115,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,3.9,291,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.5,155,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,305,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,38,Dessert Parlor,Friendly Staff,Ice Cream,150.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,441,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.3,630,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,160,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,287,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,402,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,469,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.3,511,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,264,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.0,62,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,693,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,242,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,163,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,191,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.5,32,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,2.5,247,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.1,2339,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,337,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,135,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,172,Casual Dining,Biryani,"North Indian, Chinese",700.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,105,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,504,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.3,1129,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.3,860,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,412,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,3.9,142,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,143,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.4,181,Beverage Shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,70,Quick Bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,164,Quick Bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,58,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.8,148,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.9,206,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.7,217,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450.0,Delivery,Banashankari,12.9393328,77.5539819
No,No,3.8,148,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,2.9,177,Casual Dining,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha","North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.7,136,Quick Bites,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,185,Quick Bites,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts",200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,155,Casual Dining,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, North Indian, Chinese, Street Food",400.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,42,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,286,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,160,Casual Dining,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,59,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.0,89,Quick Bites,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa","South Indian, Beverages",200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,40,Casual Dining,Masala Dosa,"North Indian, Chinese, South Indian, Fast Food",600.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,2.5,35,Quick Bites,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",Fast Food,200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.6,62,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.1,139,Casual Dining,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian",550.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.7,237,Quick Bites,Chicken Biryani,"South Indian, Fast Food",200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,388,Casual Dining,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.9,128,Casual Dining,"Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices",500.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,Yes,4.1,1875,Casual Dining,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Afghani, Mughlai",1200.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,3.8,90,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0,Delivery,Banashankari,12.9393328,77.5539819
Yes,No,4.2,179,Delivery,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",Pizza,600.0,Delivery,Banashankari,12.9393328,77.5539819
